               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10665,            0.093887,            0.048112,           0.0022563,                0.25,             0.15728,            0.062097,            0.082217,            0.072994,            0.040955,            0.070566,           0.0032704,           0.0032704
                   1,            0.083815,            0.067767,             0.03687,             0.86568,             0.10822,             0.15979,            0.077707,            0.073091,            0.056275,            0.030405,            0.040457,           0.0064948,           0.0064948
                   2,            0.081016,             0.06145,            0.028754,             0.87154,               0.175,             0.15603,            0.025147,            0.078859,            0.043064,            0.024105,            0.010238,           0.0096092,           0.0096092
                   3,            0.082867,            0.050765,            0.024541,           0.0092804,             0.83333,            0.032488,           0.0074654,            0.085673,            0.034015,            0.019724,            0.009505,            0.009505,            0.009505
                   4,            0.083849,            0.045976,            0.021596,            0.010548,             0.88333,             0.17714,             0.07767,            0.080452,             0.03346,            0.018278,            0.009505,            0.009505,            0.009505
                   5,            0.081471,            0.041137,            0.019979,             0.58353,                0.25,            0.099392,            0.039478,            0.097902,            0.022022,            0.016516,             0.00934,             0.00934,             0.00934
                   6,            0.084043,            0.035564,            0.017877,              0.3065,             0.15833,            0.068844,            0.016589,            0.089917,            0.023959,            0.015641,            0.009175,            0.009175,            0.009175
                   7,            0.083737,            0.035502,            0.017732,             0.42004,                 0.5,             0.31649,             0.09497,            0.084685,            0.022683,            0.015027,             0.00901,             0.00901,             0.00901
                   8,            0.079648,            0.036965,            0.017112,             0.32788,             0.24167,             0.16277,            0.052494,            0.076818,            0.022502,            0.015309,            0.008845,            0.008845,            0.008845
                   9,            0.080695,             0.03267,            0.016562,             0.36942,             0.76667,             0.60126,             0.19701,            0.065983,            0.021353,            0.015397,             0.00868,             0.00868,             0.00868
                  10,            0.073871,            0.029134,            0.016073,             0.68338,              0.4833,             0.58866,             0.23694,            0.072121,             0.01923,            0.014798,            0.008515,            0.008515,            0.008515
                  11,            0.072929,             0.02839,            0.014777,             0.52938,             0.58081,             0.44491,             0.21066,            0.072777,            0.018736,            0.012914,             0.00835,             0.00835,             0.00835
                  12,             0.07127,            0.028353,            0.015388,             0.56729,             0.76667,             0.59362,              0.2427,            0.061922,            0.018337,            0.012761,            0.008185,            0.008185,            0.008185
                  13,            0.066934,            0.027214,            0.013301,              0.6068,             0.64381,             0.51779,             0.15342,            0.064019,            0.018001,            0.013329,             0.00802,             0.00802,             0.00802
                  14,            0.063128,             0.02608,            0.013138,             0.36465,             0.83333,             0.58689,             0.31239,            0.068339,            0.017736,            0.011361,            0.007855,            0.007855,            0.007855
                  15,            0.065436,            0.025156,            0.012759,             0.51463,             0.67126,             0.66076,             0.27441,            0.062253,             0.01641,            0.011198,             0.00769,             0.00769,             0.00769
                  16,            0.065687,             0.02511,            0.012594,             0.43206,             0.66921,             0.55863,             0.27473,            0.062658,            0.016467,            0.010271,            0.007525,            0.007525,            0.007525
                  17,            0.059939,            0.023865,            0.011426,             0.62928,             0.79167,              0.7592,             0.36952,            0.058824,            0.016523,           0.0097646,             0.00736,             0.00736,             0.00736
                  18,            0.064314,            0.022408,            0.012293,             0.46882,             0.85018,             0.67125,             0.27015,            0.061257,            0.015532,            0.010189,            0.007195,            0.007195,            0.007195
                  19,            0.068543,            0.023316,            0.011844,             0.50812,             0.81667,             0.58567,             0.32098,            0.060515,            0.015853,            0.010484,             0.00703,             0.00703,             0.00703
                  20,            0.056729,             0.02254,            0.010859,             0.58277,             0.92114,             0.76468,             0.42108,            0.054837,            0.015254,           0.0088938,            0.006865,            0.006865,            0.006865
                  21,            0.060093,             0.02589,            0.010624,             0.72352,             0.92495,             0.86265,             0.38122,            0.055655,            0.015395,           0.0088013,              0.0067,              0.0067,              0.0067
                  22,            0.059054,            0.025434,            0.010713,             0.72605,              0.8875,             0.85699,             0.49822,            0.049163,            0.015503,           0.0083352,            0.006535,            0.006535,            0.006535
                  23,            0.051619,            0.022877,            0.010369,             0.73549,             0.86897,             0.83276,             0.41457,            0.049731,            0.015361,            0.008222,             0.00637,             0.00637,             0.00637
